gene_symbol,uniprot_id,compound_id,smiles,relation,value,units
GRIN1,Q05586,CHEMBL742,CNC1(c2ccccc2Cl)CCCCC1=O,=,6309.57,nM
GRIN1,Q05586,CHEMBL159659,CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,=,10000.0,nM
GRIN1,Q05586,CHEMBL350719,CCC(=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,=,12589.25,nM
GRIN1,Q05586,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,=,10000.0,nM
GRIN1,Q05586,CHEMBL52440,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,=,15848.93,nM
GRIN1,Q05586,CHEMBL159660,CC[C@@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,=,100000.0,nM
GRIN1,Q05586,CHEMBL284237,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12,=,630.96,nM
GRIN1,Q05586,CHEMBL742,CNC1(c2ccccc2Cl)CCCCC1=O,=,3981.07,nM
GRIN1,Q05586,CHEMBL159659,CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,=,7943.28,nM
GRIN1,Q05586,CHEMBL350719,CCC(=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,=,6309.57,nM
GRIN1,Q05586,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,=,3162.28,nM
GRIN1,Q05586,CHEMBL52440,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,=,6309.57,nM
GRIN1,Q05586,CHEMBL162243,CC[C@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,=,63095.73,nM
GRIN1,Q05586,CHEMBL159660,CC[C@@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,=,79432.82,nM
GRIN1,Q05586,CHEMBL284237,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12,=,794.33,nM
GRIN1,Q05586,CHEMBL742,CNC1(c2ccccc2Cl)CCCCC1=O,=,10000.0,nM
GRIN1,Q05586,CHEMBL159659,CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,=,12589.25,nM
GRIN1,Q05586,CHEMBL350719,CCC(=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,=,25118.86,nM
GRIN1,Q05586,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,=,10000.0,nM
GRIN1,Q05586,CHEMBL52440,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,=,25118.86,nM
GRIN1,Q05586,CHEMBL162243,CC[C@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,=,63095.73,nM
GRIN1,Q05586,CHEMBL159660,CC[C@@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,=,50118.72,nM
